id,sentiment
"12311_10",0.88
"8348_2",0.11
"5828_4",0.65
"7186_2",0.52
"12128_7",0.71
"2913_8",0.54
"4396_1",0.2
"395_2",0.5
"10616_1",0.08
"9074_9",0.56
"9252_3",0.52
"9896_9",0.56
"574_4",0.55
"11182_8",0.67
"11656_4",0.45
"2322_4",0.52
"8703_1",0.45
"7483_1",0.24
"6007_10",0.85
"12424_4",0.29
"4672_1",0.25
"10841_3",0.1
"8954_7",0.56
"7392_1",0.11
"10288_8",0.68
"5343_4",0.14
"4950_1",0.1
"9257_4",0.36
"8689_3",0.27
"4480_2",0.48
"9286_10",0.83
"12245_10",0.88
"7529_7",0.74
"4_4",0.33
"5299_2",0.22
"12077_8",0.76
"10701_2",0.16
"11579_1",0.26
"10993_1",0.17
"8913_1",0.28
"1350_3",0.29
"3804_2",0.36
"5025_3",0.4
"5170_8",0.41
"8225_8",0.74
"6427_7",0.57
"3165_3",0.52
"7902_9",0.81
"8208_3",0.19
"3577_8",0.6
"4865_1",0.3
"9063_3",0.27
"1106_1",0.68
"1117_9",0.61
"1050_4",0.3
"10755_9",0.43
"2729_8",0.7
"10072_10",0.67
"2904_7",0.68
"4584_2",0.47
"189_4",0.56
"6302_4",0.36
"8138_9",0.53
"1262_1",0.23
"2199_10",0.59
"6551_7",0.55
"8082_7",0.45
"4897_8",0.66
"7360_1",0.3
"11012_10",0.6
"12046_1",0.33
"2331_2",0.64
"8961_9",0.64
"751_7",0.6
"9884_10",0.71
"10016_8",0.62
"8023_10",0.5
"2628_1",0.2
"5832_1",0.29
"7302_1",0.26
"4501_3",0.43
"1121_7",0.47
"8334_3",0.54
"9789_10",0.49
"4230_10",0.95
"824_4",0.27
"6803_9",0.69
"3086_7",0.88
"1135_8",0.56
"10136_1",0.18
"11129_3",0.28
"2072_8",0.69
"9501_7",0.7
"319_10",0.57
"1693_7",0.83
"10886_1",0.11
"9406_8",0.63
"10376_10",0.33
"9902_1",0.39
"9938_8",0.55
"7080_9",0.59
"11944_8",0.62
"5249_1",0.22
"9599_2",0.32
"9620_1",0.24
"11244_1",0.33
"6841_10",0.75
"10050_4",0.42
"10512_9",0.91
"11327_3",0.17
"10681_8",0.77
"808_3",0.52
"546_7",0.87
"10765_1",0.23
"7189_9",0.81
"6005_9",0.67
"11915_9",0.45
"5740_10",0.79
"7097_10",0.51
"9573_10",0.77
"5084_4",0.36
"12332_7",0.49
"8154_1",0.24
"5610_1",0.34
"5323_9",0.61
"11034_8",0.6
"3977_2",0.28
"12380_7",0.29
"1737_8",0.53
"6030_9",0.63
"5918_7",0.66
"7061_9",0.44
"266_8",0.62
"1375_10",0.62
"8648_3",0.26
"10146_10",0.84
"4578_10",0.67
"4685_8",0.6
"11843_9",0.76
"5467_10",0.9
"10140_10",0.64
"7721_8",0.85
"11208_10",0.41
"1063_10",0.74
"8260_10",0.74
"3182_9",0.79
"2797_8",0.65
"7613_2",0.61
"11624_4",0.35
"4847_10",0.88
"10684_7",0.68
"6312_1",0.27
"4925_3",0.31
"4125_1",0.1
"2394_10",0.85
"12105_10",0.79
"7812_1",0.06
"1061_8",0.61
"9343_3",0.48
"7696_10",0.91
"9355_10",0.74
"782_9",0.83
"9882_10",0.93
"10642_10",0.98
"7410_2",0.26
"9591_4",0.27
"11902_3",0.45
"3495_7",0.32
"6733_1",0.06
"4552_1",0.17
"6722_1",0.3
"188_10",0.72
"5099_10",0.66
"10313_1",0.24
"6756_9",0.48
"6622_2",0.07
"4807_10",0.69
"7173_3",0.41
"11321_8",0.52
"7909_9",0.53
"8012_7",0.36
"8615_4",0.25
"8117_10",0.5
"1892_10",0.67
"4617_1",0.42
"1893_8",0.62
"5435_1",0.15
"162_3",0.29
"6516_10",0.63
"11588_7",0.63
"2006_1",0.23
"1594_4",0.27
"1472_1",0.11
"3647_1",0.57
"174_7",0.55
"5539_7",0.26
"3384_10",0.85
"3811_4",0.41
"4079_8",0.49
"1179_7",0.7
"3069_9",0.9
"3769_8",0.47
"9247_10",0.78
"10434_1",0.33
"1147_10",0.9
"5344_7",0.78
"8073_10",0.68
"7833_3",0.16
"8370_1",0.17
"9007_8",0.33
"6624_7",0.55
"6683_3",0.35
"12275_7",0.38
"11927_8",0.65
"1560_10",0.9
"1325_9",0.42
"3548_8",0.39
"607_1",0.14
"6702_7",0.43
"5702_3",0.25
"11345_8",0.76
"3428_4",0.41
"7209_9",0.86
"8425_8",0.51
"3087_1",0.26
"1119_8",0.61
"5715_3",0.51
"8645_1",0.38
"2149_3",0.24
"10403_10",0.51
"5628_1",0.24
"5570_10",0.76
"1613_3",0.46
"1454_4",0.84
"5094_3",0.31
"7982_1",0.3
"6894_2",0.47
"6554_1",0.4
"4721_3",0.5
"6904_4",0.21
"893_8",0.73
"4605_4",0.6
"11516_7",0.43
"11718_7",0.85
"5956_1",0.15
"7455_9",0.66
"6396_4",0.68
"1223_8",0.55
"8556_1",0.33
"6108_8",0.47
"11690_1",0.18
"3778_9",0.41
"3627_4",0.49
"8256_4",0.44
"533_1",0.14
"5235_4",0.43
"621_2",0.41
"5365_1",0.67
"8180_3",0.41
"7396_7",0.23
"9776_10",0.77
"8175_10",0.83
"3128_1",0.29
"4606_1",0.29
"6158_2",0.28
"3281_10",0.68
"4723_4",0.42
"11994_3",0.32
"7701_1",0.09
"103_3",0.32
"8908_10",0.82
"8876_1",0.18
"7519_9",0.67
"12456_8",0.46
"9514_8",0.64
"8680_8",0.32
"12402_10",0.49
"362_2",0.72
"9825_7",0.66
"2913_3",0.49
"7164_8",0.6
"11177_7",0.52
"5707_10",0.76
"8103_10",0.76
"6289_1",0.08
"11754_1",0.51
"11640_10",0.93
"9933_7",0.61
"185_10",0.76
"242_10",0.88
"9369_8",0.79
"7453_10",0.5
"7514_7",0.35
"10860_2",0.27
"8663_8",0.58
"9108_1",0.18
"7941_1",0.19
"10116_1",0.14
"9841_4",0.36
