id,sentiment
"12311_10",0.9
"8348_2",0.13
"5828_4",0.68
"7186_2",0.41
"12128_7",0.78
"2913_8",0.64
"4396_1",0.26
"395_2",0.32
"10616_1",0.16
"9074_9",0.69
"9252_3",0.62
"9896_9",0.48
"574_4",0.45
"11182_8",0.54
"11656_4",0.18
"2322_4",0.69
"8703_1",0.69
"7483_1",0.24
"6007_10",0.78
"12424_4",0.33
"4672_1",0.02
"10841_3",0.32
"8954_7",0.4
"7392_1",0.42
"10288_8",0.81
"5343_4",0.05
"4950_1",0.1
"9257_4",0.39
"8689_3",0.29
"4480_2",0.18
"9286_10",0.55
"12245_10",0.84
"7529_7",0.75
"4_4",0.3
"5299_2",0.34
"12077_8",0.72
"10701_2",0.19
"11579_1",0.03
"10993_1",0.44
"8913_1",0.16
"1350_3",0.51
"3804_2",0.28
"5025_3",0.32
"5170_8",0.75
"8225_8",0.93
"6427_7",0.69
"3165_3",0.39
"7902_9",0.96
"8208_3",0.13
"3577_8",0.91
"4865_1",0.07
"9063_3",0.42
"1106_1",0.31
"1117_9",0.81
"1050_4",0.65
"10755_9",0.63
"2729_8",0.8
"10072_10",0.83
"2904_7",0.92
"4584_2",0.58
"189_4",0.55
"6302_4",0.6
"8138_9",0.6
"1262_1",0.37
"2199_10",0.88
"6551_7",0.58
"8082_7",0.42
"4897_8",0.92
"7360_1",0.09
"11012_10",0.82
"12046_1",0.63
"2331_2",0.43
"8961_9",0.79
"751_7",0.68
"9884_10",0.74
"10016_8",0.71
"8023_10",0.45
"2628_1",0.12
"5832_1",0.04
"7302_1",0.14
"4501_3",0.38
"1121_7",0.64
"8334_3",0.62
"9789_10",0.41
"4230_10",0.56
"824_4",0.35
"6803_9",0.76
"3086_7",0.67
"1135_8",0.53
"10136_1",0.14
"11129_3",0.22
"2072_8",0.62
"9501_7",0.88
"319_10",0.72
"1693_7",0.85
"10886_1",0.01
"9406_8",0.66
"10376_10",0.22
"9902_1",0.11
"9938_8",0.39
"7080_9",0.88
"11944_8",0.6
"5249_1",0.02
"9599_2",0.23
"9620_1",0.21
"11244_1",0.5
"6841_10",0.86
"10050_4",0.85
"10512_9",0.68
"11327_3",0.16
"10681_8",0.63
"808_3",0.56
"546_7",0.8
"10765_1",0.01
"7189_9",0.54
"6005_9",0.69
"11915_9",0.61
"5740_10",0.59
"7097_10",0.55
"9573_10",0.66
"5084_4",0.39
"12332_7",0.36
"8154_1",0.19
"5610_1",0.4
"5323_9",0.71
"11034_8",0.7
"3977_2",0.5
"12380_7",0.32
"1737_8",0.47
"6030_9",0.39
"5918_7",0.85
"7061_9",0.59
"266_8",0.52
"1375_10",0.7
"8648_3",0.25
"10146_10",0.79
"4578_10",0.64
"4685_8",0.54
"11843_9",0.64
"5467_10",0.88
"10140_10",0.87
"7721_8",0.82
"11208_10",0.31
"1063_10",0.67
"8260_10",0.44
"3182_9",0.72
"2797_8",0.82
"7613_2",0.66
"11624_4",0.26
"4847_10",0.71
"10684_7",0.5
"6312_1",0.61
"4925_3",0.21
"4125_1",0.13
"2394_10",0.86
"12105_10",0.72
"7812_1",0.27
"1061_8",0.75
"9343_3",0.35
"7696_10",0.84
"9355_10",0.96
"782_9",0.88
"9882_10",0.79
"10642_10",0.7
"7410_2",0.36
"9591_4",0.37
"11902_3",0.52
"3495_7",0.3
"6733_1",0.14
"4552_1",0.0
"6722_1",0.44
"188_10",0.86
"5099_10",0.74
"10313_1",0.45
"6756_9",0.46
"6622_2",0.03
"4807_10",0.64
"7173_3",0.7
"11321_8",0.64
"7909_9",0.6
"8012_7",0.39
"8615_4",0.36
"8117_10",0.73
"1892_10",0.61
"4617_1",0.22
"1893_8",0.52
"5435_1",0.06
"162_3",0.31
"6516_10",0.79
"11588_7",0.84
"2006_1",0.23
"1594_4",0.41
"1472_1",0.14
"3647_1",0.4
"174_7",0.32
"5539_7",0.43
"3384_10",0.93
"3811_4",0.47
"4079_8",0.55
"1179_7",0.59
"3069_9",0.78
"3769_8",0.58
"9247_10",0.55
"10434_1",0.03
"1147_10",0.68
"5344_7",0.85
"8073_10",0.82
"7833_3",0.17
"8370_1",0.18
"9007_8",0.29
"6624_7",0.66
"6683_3",0.19
"12275_7",0.59
"11927_8",0.63
"1560_10",0.9
"1325_9",0.61
"3548_8",0.59
"607_1",0.05
"6702_7",0.44
"5702_3",0.05
"11345_8",0.79
"3428_4",0.56
"7209_9",0.9
"8425_8",0.72
"3087_1",0.44
"1119_8",0.59
"5715_3",0.6
"8645_1",0.2
"2149_3",0.12
"10403_10",0.3
"5628_1",0.3
"5570_10",0.79
"1613_3",0.23
"1454_4",0.74
"5094_3",0.34
"7982_1",0.58
"6894_2",0.37
"6554_1",0.28
"4721_3",0.54
"6904_4",0.32
"893_8",0.87
"4605_4",0.61
"11516_7",0.63
"11718_7",0.82
"5956_1",0.11
"7455_9",0.74
"6396_4",0.64
"1223_8",0.69
"8556_1",0.42
"6108_8",0.68
"11690_1",0.08
"3778_9",0.81
"3627_4",0.34
"8256_4",0.44
"533_1",0.04
"5235_4",0.17
"621_2",0.26
"5365_1",0.46
"8180_3",0.54
"7396_7",0.07
"9776_10",0.69
"8175_10",0.83
"3128_1",0.41
"4606_1",0.28
"6158_2",0.1
"3281_10",0.45
"4723_4",0.19
"11994_3",0.46
"7701_1",0.01
"103_3",0.18
"8908_10",0.76
